Entry	AlphaFoldDB	PDB	Ensembl
A0A075F5C6			ENSMUST00000228371.2;
A0A087WPF7	A0A087WPF7;		ENSMUST00000161226.11 [A0A087WPF7-1];ENSMUST00000161374.8 [A0A087WPF7-3];
A0A087WPT2	A0A087WPT2;		ENSMUST00000190784.2;
A0A087WRK1			ENSMUST00000185240.2;ENSMUST00000185245.2;ENSMUST00000185338.7;ENSMUST00000185565.2;ENSMUST00000185636.2;ENSMUST00000186004.2;ENSMUST00000186110.3;ENSMUST00000186493.2;ENSMUST00000186578.2;ENSMUST00000186996.7;ENSMUST00000187293.7;ENSMUST00000187477.2;ENSMUST00000188585.7;ENSMUST00000188672.2;ENSMUST00000188864.2;ENSMUST00000188958.2;ENSMUST00000189315.2;ENSMUST00000189346.2;ENSMUST00000189543.7;ENSMUST00000190173.2;ENSMUST00000190292.2;ENSMUST00000190782.2;ENSMUST00000192892.2;ENSMUST00000249276.1;
A0A087WRT4			ENSMUST00000189017.8;
A0A087WSP5	A0A087WSP5;		ENSMUST00000186057.7;
A0A088MLT8	A0A088MLT8;		ENSMUST00000182006.4 [A0A088MLT8-1];
A0A0A6YWF9	A0A0A6YWF9;		ENSMUST00000193002.6;
A0A0A6YWL7	A0A0A6YWL7;		ENSMUST00000195262.6;
A0A0A6YXR0	A0A0A6YXR0;		ENSMUST00000192438.6;
A0A0A6YXU9	A0A0A6YXU9;		ENSMUST00000195201.2;
A0A0B4J1F4	A0A0B4J1F4;		ENSMUST00000048068.15 [A0A0B4J1F4-1];ENSMUST00000118110.3 [A0A0B4J1F4-2];
A0A0B4J1G0	A0A0B4J1G0;		ENSMUST00000078825.5;
A0A0B4J1N3	A0A0B4J1N3;		ENSMUST00000179488.3;
A0A0G2JDV3	A0A0G2JDV3;		
A0A0G2JGI9	A0A0G2JGI9;		ENSMUST00000159742.8;
A0A0G2JGS4	A0A0G2JGS4;		ENSMUST00000200171.5;
A0A0R4IZW4	A0A0R4IZW4;		ENSMUST00000000500.8;
A0A0R4IZW5	A0A0R4IZW5;		ENSMUST00000000312.12;
A0A0R4IZY3	A0A0R4IZY3;		ENSMUST00000005452.6;
A0A0R4J008	A0A0R4J008;		ENSMUST00000019911.14;
A0A0R4J049	A0A0R4J049;		ENSMUST00000023873.12;
A0A0R4J083	A0A0R4J083;		ENSMUST00000027153.6;
A0A0R4J097	A0A0R4J097;		ENSMUST00000031224.15;
A0A0R4J0A4			ENSMUST00000031653.12;
A0A0R4J0A9			ENSMUST00000032322.15;
A0A0R4J0B3	A0A0R4J0B3;		ENSMUST00000031490.11;
A0A0R4J0B6			ENSMUST00000031822.13;ENSMUST00000114294.8;
A0A0R4J0N8	A0A0R4J0N8;		ENSMUST00000052172.7;
A0A0R4J0P2	A0A0R4J0P2;		ENSMUST00000052140.3;
A0A0R4J104	A0A0R4J104;		ENSMUST00000080880.12;
A0A0R4J115			ENSMUST00000034880.10;ENSMUST00000085677.9;ENSMUST00000167479.8;ENSMUST00000170397.8;
A0A0R4J136	A0A0R4J136;		ENSMUST00000091514.6;
A0A0R4J1M7			ENSMUST00000117911.8;
A0A0R4J1Q7	A0A0R4J1Q7;		ENSMUST00000135846.2;
A0A0U1RNJ1			ENSMUST00000206589.2;
A0A0U1RNR0	A0A0U1RNR0;		ENSMUST00000205923.2;
A0A0U1RPR8	A0A0U1RPR8;		ENSMUST00000206435.2;
A0A140LHU0	A0A140LHU0;		ENSMUST00000208247.3;
A0A140LI88	A0A140LI88;	6NXF;	
A0A140LIF8	A0A140LIF8;		ENSMUST00000058704.9;ENSMUST00000108836.2;
A0A1B0GR13	A0A1B0GR13;		ENSMUST00000210720.3;
A0A1B0GRJ9	A0A1B0GRJ9;		ENSMUST00000209537.2;
A0A1B0GSQ5	A0A1B0GSQ5;		ENSMUST00000209750.2;
A0A1D5RLQ9			ENSMUST00000212756.2;
A0A1D9BZF0	A0A1D9BZF0;		
A0A1L1SQU7			ENSMUST00000215588.2;
A0A1L1SSL9			ENSMUST00000215311.2;
A0A1L1STC6			ENSMUST00000215295.2;
A0A1L1SUI3	A0A1L1SUI3;		ENSMUST00000213268.2;
A0A1L1SUV7	A0A1L1SUV7;		ENSMUST00000215121.2;
A0A1L1SV42	A0A1L1SV42;		ENSMUST00000215001.2;
A0A1W2P872	A0A1W2P872;		ENSMUST00000032571.10 [A0A1W2P872-2];ENSMUST00000220302.2 [A0A1W2P872-1];
A0A1Y7VMN0			ENSMUST00000220688.2;
A0A1Y7VMP7	A0A1Y7VMP7;		ENSMUST00000220854.2;
A0A1Y7VNZ6	A0A1Y7VNZ6;		ENSMUST00000221753.2;
A0A286YE25	A0A286YE25;		ENSMUST00000224711.2;
A0A2I3BQE0	A0A2I3BQE0;		ENSMUST00000226555.2;
A0A2R3XZC4	A0A2R3XZC4;		
A0A2R8VHR8	A0A2R8VHR8;		ENSMUST00000230446.2 [A0A2R8VHR8-1];
A0A385KNU8	A0A385KNU8;		
A0A3B2WC92	A0A3B2WC92;		ENSMUST00000233611.2;
A0A3Q4EGQ9	A0A3Q4EGQ9;		ENSMUST00000234133.2;
A0A3Q4EGR2	A0A3Q4EGR2;		ENSMUST00000234610.2;
A0A494B9E3	A0A494B9E3;		ENSMUST00000236590.2;
A0A494B9X3	A0A494B9X3;		ENSMUST00000235234.2;
A0A494BA31	A0A494BA31;		ENSMUST00000236124.2;
A0A494BAW1	A0A494BAW1;		ENSMUST00000237546.2;
A0A494BBH5	A0A494BBH5;		ENSMUST00000237694.2;
A0A494BBP6	A0A494BBP6;		ENSMUST00000236727.2;
A0A571BDN7	A0A571BDN7;		ENSMUST00000238315.2;
A0A571BEE2	A0A571BEE2;		ENSMUST00000156384.4 [A0A571BEE2-2];
A0A5F8MP90			ENSMUST00000239100.2;
A0A5F8MPH8			ENSMUST00000238967.2;
A0A5F8MPM8	A0A5F8MPM8;		ENSMUST00000238976.3;
A0A5F8MPU3	A0A5F8MPU3;		ENSMUST00000097080.4 [A0A5F8MPU3-2];ENSMUST00000238949.2 [A0A5F8MPU3-1];
A0A5F8MPX1			ENSMUST00000238975.2;
A0A5F8MQ39			ENSMUST00000238837.2;
