Entry	AlphaFoldDB	PDB	Ensembl	EnsemblBacteria	EnsemblFungi	EnsemblProtists
A0A024R1X5	A0A024R1X5;					
A0A024R274	A0A024R274;					
A0A024R324	A0A024R324;					
A0A024R6A3	A0A024R6A3;					
A0A024R7I7	A0A024R7I7;					
A0A024RA31	A0A024RA31;					
A0A024RCN9	A0A024RCN9;					
A0A068F658	A0A068F658;					
A0A087WZ06	A0A087WZ06;		ENST00000617590.1;			
A0A087WZT3	A0A087WZT3;		ENST00000380596.10;			
A0A087X0I6	A0A087X0I6;		ENST00000611084.4;			
A0A087X0K9			ENST00000614355.5;			
A0A087X1C5	A0A087X1C5;					
A0A087X296	A0A087X296;		ENST00000619306.5;			
A0A090N7W4	A0A090N7W4;					
A0A090N8E9	A0A090N8E9;					
A0A0A0MR05	A0A0A0MR05;		ENST00000301724.14;			
A0A0A0MR25	A0A0A0MR25;		ENST00000351936;			
A0A0A0MRJ0			ENST00000366764.8;			
A0A0A0MRJ1			ENST00000366766;			
A0A0A0MSN4	A0A0A0MSN4;		ENST00000428043.5;			
A0A0A6YYC0	A0A0A6YYC0;		ENST00000530504.1;			
A0A0B4J1S7	A0A0B4J1S7;		ENST00000359785.10;			
A0A0B4J2F0	A0A0B4J2F0;		ENST00000436697.3;ENST00000567948.1;			
A0A0C3SFZ9			ENST00000594202.6;			
A0A0C4DGF1	A0A0C4DGF1;		ENST00000481182.1;			
A0A0C5B5G6	A0A0C5B5G6;					
A0A0D9SFP6	A0A0D9SFP6;		ENST00000626019.2;			
A0A0K0K1J8						
A0A0K0K1K3	A0A0K0K1K3;					
A0A0K2S4Q6	A0A0K2S4Q6;		ENST00000641031.1 [A0A0K2S4Q6-2];ENST00000641710.1 [A0A0K2S4Q6-1];ENST00000709217.2 [A0A0K2S4Q6-1];ENST00000709218.1 [A0A0K2S4Q6-2];			
A0A0S2Z310	A0A0S2Z310;					
A0A0S2Z366	A0A0S2Z366;					
A0A0S2Z381	A0A0S2Z381;					
A0A0S2Z383	A0A0S2Z383;					
A0A0S2Z391	A0A0S2Z391;					
A0A0S2Z3A9	A0A0S2Z3A9;					
A0A0S2Z3C5	A0A0S2Z3C5;					
A0A0S2Z3C7	A0A0S2Z3C7;					
A0A0S2Z3D5	A0A0S2Z3D5;					
A0A0S2Z3Q4	A0A0S2Z3Q4;					
A0A0S2Z3Q6	A0A0S2Z3Q6;					
A0A0S2Z3T4			ENST00000684654.1;			
A0A0S2Z3T9	A0A0S2Z3T9;					
A0A0S2Z3W3	A0A0S2Z3W3;					
A0A0S2Z3W6	A0A0S2Z3W6;					
A0A0S2Z478	A0A0S2Z478;					
A0A0S2Z4C6	A0A0S2Z4C6;					
A0A0S2Z4D1	A0A0S2Z4D1;					
A0A0S2Z4G9	A0A0S2Z4G9;					
A0A0S2Z4L5			ENST00000685437.1;ENST00000688543.1;ENST00000692093.1;			
A0A0S2Z4M1	A0A0S2Z4M1;					
A0A0S2Z4N5	A0A0S2Z4N5;					
A0A0S2Z4Q4	A0A0S2Z4Q4;					
A0A0S2Z4R0	A0A0S2Z4R0;					
A0A0S2Z4U3	A0A0S2Z4U3;					
A0A0S2Z4Z8	A0A0S2Z4Z8;					
A0A0S2Z559	A0A0S2Z559;					
A0A0S2Z5D6	A0A0S2Z5D6;					
